dataset,sample,curated_smiles,inchi_keys,structure_group,copy_class,copy_ID
AChE,11,CC1=CC2Cc3[nH]c4cc(Cl)ccc4c(=NCCCCCCCCN=c4c5c([nH]c6cc(Cl)ccc46)CCCC5)c3C(C1)C2,JVAZMJIFYNHUQW-UHFFFAOYSA-N,0,1,CHEMBL539599
AChE,12,CC1=CC2Cc3[nH]c4cc(Cl)ccc4c(=N)c3C(C1)C2,UKCBMHDZLYYTMI-UHFFFAOYSA-N,1,1,CHEMBL1994202
AChE,13,CC1=CC2Cc3[nH]c4cc(Cl)ccc4c(=NCCCCCCN=c4c5c([nH]c6cc(Cl)ccc46)CCCC5)c3C(C1)C2,YNGVZJKKHQZTOO-UHFFFAOYSA-N,0,1,CHEMBL555214
AChE,14,Cn1c(O)cc2cc3c(CCC4CCN(Cc5ccccc5)CC4)noc3cc21,ZPYIFALACCLHDD-UHFFFAOYSA-N,0,1,CHEMBL1179697
AChE,15,CC1=CC2Cc3[nH]c4cc(Cl)ccc4c(=NCCCCCCN=c4c5c([nH]c6ccccc46)CCCC5)c3C(C1)C2,HLRVNJVVXBHFTE-UHFFFAOYSA-N,0,1,CHEMBL555666
AChE,16,O=C1CCc2cc3c(CCC4CCN(Cc5ccccc5)CC4)noc3cc2N1,UQBAAIYCOXDDQQ-UHFFFAOYSA-N,0,1,CHEMBL329231
AChE,17,c1ccc2c(=NCCCCCCCN=c3c4c([nH]c5ccccc35)CCCC4)c3c([nH]c2c1)CCCC3,ITZOKHKOFJOBFS-UHFFFAOYSA-N,0,1,CHEMBL32823
AChE,18,C[N+](C)(CCNC(=O)C(=O)NCC[N+](C)(C)Cc1ccccc1Cl)Cc1ccccc1Cl,AJMNQFJBFWKBJZ-UHFFFAOYSA-P,0,1,CHEMBL1669479
AChE,19,O=C1C(=NCCN=c2c3c([nH]c4cc(Cl)ccc24)CCCC3)CC(=O)c2c(O)cccc21,NEQUOBQIKXNPDL-UHFFFAOYSA-N,0,1,CHEMBL3356536
AChE,20,c1ccc(CN2CCC(CCc3noc4cc(N5CCOCC5)ccc34)CC2)cc1,JCWFCWIJNXZDKN-UHFFFAOYSA-N,0,1,CHEMBL93936
AChE,21,COP1(=O)OCC2COC(=O)C2=C(C)O1,OMPQJMDGDAAXPE-UHFFFAOYSA-N,34,1,CHEMBL603622
AChE,22,O=c1cc2cc3o[nH]c(CCC4CCN(Cc5ccccc5)CC4)c3cc2[nH]1,WBCBHJLRZNSMGA-UHFFFAOYSA-N,0,1,CHEMBL328468
AChE,23,COc1ccc(-c2cc3c(c(=O)o2)CC2(O)C(C)(CCC4(O)C(C)(C)C=CC(=O)C42C)O3)cc1OC,MIHBCQWIBJDVPX-UHFFFAOYSA-N,0,1,CHEMBL283509
AChE,24,CCN(CCCCCC=Nc1cc(O)c(NCCCCCCN(CC)Cc2ccccc2OC)cc1O)Cc1ccccc1OC,RQNDBCCGDQWADT-UHFFFAOYSA-N,0,1,CHEMBL231160
AChE,25,N=c1c2c([nH]c3cc(Cl)ccc13)CCCC2,GQZMDBQRGRRPMS-UHFFFAOYSA-N,0,1,CHEMBL292314
AChE,26,CCC1=CC2Cc3[nH]c4cc(F)ccc4c(=N)c3C(C1)C2,XDJOJDHEYDJBLQ-UHFFFAOYSA-N,0,1,CHEMBL341658
AChE,27,CCC(CC)n1cc(C(=O)C(F)(F)F)cn1,YYGHBQVPXHKCRO-UHFFFAOYSA-N,0,1,CHEMBL3623551
AChE,28,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,ADEBPBSSDYVVLD-UHFFFAOYSA-N,0,1,CHEMBL502
AChE,29,CC1=CC2Cc3[nH]c4cc(Cl)ccc4c(=NCCCCCCCCC=NC(=O)c4cc(O)c5c(O)c6c(O)cccc6c(O)c5c4)c3C(C1)C2,GXSLMXFFKIJSSI-UHFFFAOYSA-N,2,1,CHEMBL3233832
AChE,30,CC(=O)Nc1ccc2c(CCC3CCN(Cc4ccccc4)CC3)noc2c1,OEDAMXCGASJANJ-UHFFFAOYSA-N,0,1,CHEMBL92736
AChE,31,CCN(CCCCCC(=O)N1CCC(C2CCN(C(=O)CCCCCN(CC)Cc3ccccc3OC)CC2)CC1)Cc1ccccc1OC,ZKOHODJSCICEFD-UHFFFAOYSA-N,0,1,CHEMBL222904
AChE,32,Oc1cc2c(ccc3c(CCC4CCN(Cc5ccccc5)CC4)[nH]oc32)n1,UOHKZPYGIKQZKJ-UHFFFAOYSA-N,0,1,CHEMBL95020
AChE,33,CC1=CC2Cc3[nH]c4cc(Cl)ccc4c(=NCCCCCCCCC=NC(=O)c4cc(O)c5c(O)c6c(O)cccc6c(O)c5c4)c3C(C1)C2,GXSLMXFFKIJSSI-UHFFFAOYSA-N,2,1,CHEMBL3233830
AChE,34,Cc1c(N2CCN(C)CC2)nc2ccccc2c1C(=O)NCCCCCCCN=c1c2c([nH]c3ccccc13)CCCC2,ACKJXXOVSOCBPX-UHFFFAOYSA-N,0,1,CHEMBL195241
AChE,35,CCn1c(C)nc2cc(C(=O)CCC3CCN(Cc4ccccc4)CC3)ccc21,NMPLPABDEKPABN-UHFFFAOYSA-N,0,1,CHEMBL1082435
AChE,36,CC1=CC2Cc3[nH]c4cc(Cl)ccc4c(=NCCCCCCCC=NC(=O)c4cc(O)c5c(O)c6c(O)cccc6c(O)c5c4)c3C(C1)C2,XXAYZDWUQJJPEF-UHFFFAOYSA-N,0,1,CHEMBL3233829
AChE,37,CC(C)(C)c1cccc(C(=O)C(F)(F)F)c1,XAZQUPBUJONHAF-UHFFFAOYSA-N,0,1,CHEMBL89354
AChE,38,c1ccc2c(=NCCSSCCN=c3c4c([nH]c5ccccc35)CCCC4)c3c([nH]c2c1)CCCC3,WENTUEGJRGNGKW-UHFFFAOYSA-N,0,1,CHEMBL3235503
AChE,39,O=C(c1cnn(C2CCCC2)c1)C(F)(F)F,VSAZMHWIUAZWGB-UHFFFAOYSA-N,0,1,CHEMBL3623552
AChE,40,Cc1cc2onc(CCC3CCN(Cc4ccccc4)CC3)c2cc1C,NCERWLVJTKFIHR-UHFFFAOYSA-N,0,1,CHEMBL91291
AChE,41,CC(C)(C)c1cccc(C(=O)C(F)F)c1,ACIBUVSZJSBTER-UHFFFAOYSA-N,0,1,CHEMBL3623554
AChE,42,CCC(C)n1cc(C(=O)C(F)(F)F)cn1,GIGJIIJGHXYZQW-UHFFFAOYSA-N,0,1,CHEMBL3623549
AChE,43,Cc1nc2ccc(C(=O)CCC3CCN(Cc4ccccc4)CC3)cc2s1,WUDBCFDOLSHYHH-UHFFFAOYSA-N,0,1,CHEMBL1084275
AChE,44,O=C(NCCCCCCCCN=c1c2c([nH]c3cc(Cl)ccc13)CCCC2)c1ccc2nc(-c3ccc(Cl)cc3)c3c(c2c1)OCCC3,RJZPCUVMLZBWGD-UHFFFAOYSA-N,0,1,CHEMBL3215768
AChE,45,COc1cccc2c(CCC3CCN(Cc4ccccc4)CC3)noc12,LYTYXHJYOPFOCO-UHFFFAOYSA-N,0,1,CHEMBL93619
AChE,46,CCCC(C)n1cc(C(=O)C(F)(F)F)cn1,QWJQWXDSWXGISZ-UHFFFAOYSA-N,0,1,CHEMBL3623550
AChE,47,COc1ccc2onc(CCC3CCN(Cc4ccccc4)CC3)c2c1,WLEKXXPTBPECMY-UHFFFAOYSA-N,0,1,CHEMBL94186
AChE,48,CC1=CC2Cc3[nH]c4cc(Cl)ccc4c(=NCCCCCCCCCC=NC(=O)c4cc(O)c5c(O)c6c(O)cccc6c(O)c5c4)c3C(C1)C2,BQVGDNMFYFONPG-UHFFFAOYSA-N,0,1,CHEMBL3303094
AChE,49,Cc1ccc2onc(CCC3CCN(Cc4ccccc4)CC3)c2c1,WZVZDMSPGXVHOP-UHFFFAOYSA-N,0,1,CHEMBL433379
AChE,50,COc1ccc2c(CCC3CCN(Cc4ccccc4)CC3)noc2c1,VFDQMJCSKFAKRY-UHFFFAOYSA-N,0,1,CHEMBL418955
AChE,51,NC(=O)c1ccc2c(CCC3CCN(Cc4ccccc4)CC3)noc2c1,OCXWMIZAVHITQO-UHFFFAOYSA-N,0,1,CHEMBL92663
AChE,52,O=C(Nc1ccc2c(CCC3CCN(Cc4ccccc4)CC3)noc2c1)c1ccccc1,WNUCJMMTJRRQRG-UHFFFAOYSA-N,0,1,CHEMBL93123
AChE,53,N=c1c2c([nH]c3cccc(Cl)c13)CCCC2,KVGMGGLTJLJDFE-UHFFFAOYSA-N,0,1,CHEMBL134057
AChE,54,Cc1ccccc1NC(=O)Oc1ccc2c(c1)C1(C)CCN(C)C1N2C,JGAGHIIOCADQOV-UHFFFAOYSA-N,3,1,CHEMBL300143
AChE,55,Cc1ccccc1NC(=O)Oc1ccc2c(c1)C1(C)CCN(C)C1N2C,JGAGHIIOCADQOV-UHFFFAOYSA-N,3,1,CHEMBL130458
AChE,56,CCc1ccccc1NC(=O)Oc1ccc2c(c1)C1(C)CCN(C)C1N2C,NRKKZJALIFDZIJ-UHFFFAOYSA-N,0,1,CHEMBL340391
AChE,57,CC[N+](C)(CCCCCC(=O)N(C)CCCCCCCCN(C)C(=O)CCCCC[N+](C)(CC)Cc1ccccc1OC)Cc1ccccc1OC,VTTZSIFCKKPQTK-UHFFFAOYSA-N,0,1,CHEMBL173018
AChE,58,Cc1nc2cc(C(=O)CCC3CCN(Cc4ccccc4)CC3)ccc2[nH]1,LTHKGHCYYOBVQU-UHFFFAOYSA-N,0,1,CHEMBL542297
AChE,59,CC=C1C2C=C(C)CC1(N)c1ccc(=O)[nH]c1C2,ZRJBHWIHUMBLCN-UHFFFAOYSA-N,7,1,CHEMBL1255901
AChE,60,CC[N+](C)(CCCCCC(=O)N(C)CCCCCCCCN(C)C(=O)CCCCC[N+](C)(CC)Cc1ccccc1[N+](=O)[O-])Cc1ccccc1[N+](=O)[O-],NDAKSRSNKJZZLT-UHFFFAOYSA-N,0,1,CHEMBL609977
AChE,61,N=c1c2c([nH]c3ccccc13)CCCC2,YLJREFDVOIBQDA-UHFFFAOYSA-N,0,1,CHEMBL95
AChE,62,CCCCCCCN=c1c2c([nH]c3cc(Cl)ccc13)CCCC2,XUHVEOJQELBGLL-UHFFFAOYSA-N,0,1,CHEMBL59782
AChE,63,CNC(=O)Oc1ccc2c(c1)C1(C)CCN(C)C1N2C,PIJVFDBKTWXHHD-UHFFFAOYSA-N,4,1,CHEMBL94
AChE,64,O=S(=O)(Nc1ccc2c(CCC3CCN(Cc4ccccc4)CC3)noc2c1)c1ccccc1,RRYREXCAJLJMCL-UHFFFAOYSA-N,0,1,CHEMBL92955
AChE,65,CNC(=O)Oc1ccc2c(c1)C1(C)CCN(C)C1N2C,PIJVFDBKTWXHHD-UHFFFAOYSA-N,4,1,10709
AChE,66,CC(C)c1ccccc1NC(=O)Oc1ccc2c(c1)C1(C)CCN(C)C1N2C,LZCXRMUTKSVDOD-UHFFFAOYSA-N,0,1,CHEMBL130270
AChE,67,COc1cc(N)c(Cl)cc1C(=O)CCC1CCN(CC2CCCCC2)CC1,FTRZTHFGTILUPE-UHFFFAOYSA-N,0,1,CHEMBL3417009
AChE,68,CCN(CCCCCC(=O)N(C)CCCCCCCCN(C)C(=O)CCCCCN(CC)Cc1ccccc1OC)Cc1ccccc1OC,VJXLWYGKZGTXAF-UHFFFAOYSA-N,0,1,CHEMBL173309
AChE,69,CC1=CC2Cc3[nH]c4cc(Cl)ccc4c(=NCCCCCCCCCCC=NC(=O)c4cc(O)c5c(O)c6c(O)cccc6c(O)c5c4)c3C(C1)C2,KFKIIHLZWZSRFA-UHFFFAOYSA-N,0,1,CHEMBL3234039
AChE,70,CCN(Cc1ccccc1)Cc1ccc(-c2cc3cc(OC)c(OC)cc3oc2=O)cc1,PNZIOQNBQOTGPK-UHFFFAOYSA-N,0,1,CHEMBL244416
AChE,71,C=CC[N+](C)(C)c1ccc(CCC(=O)CCc2ccc([N+](C)(C)CC=C)cc2)cc1,ZAEXMNKDGJNLTA-UHFFFAOYSA-N,0,1,CHEMBL464538
AChE,72,CC1=CC2Cc3[nH]c4cc(Cl)ccc4c(=NCc4ccc(C=NC(=O)c5cc(O)c6c(O)c7c(O)cccc7c(O)c6c5)cc4)c3C(C1)C2,ZQZFVUMQBFRCSZ-UHFFFAOYSA-N,0,1,CHEMBL3234040
AChE,73,C#CCNC1CCc2ccccc21,RUOKEQAAGRXIBM-UHFFFAOYSA-N,0,0,CHEMBL887
AChE,74,Nc1ccc2c(CCC3CCN(Cc4ccccc4)CC3)noc2c1,LLOAJMWVAODKLQ-UHFFFAOYSA-N,0,1,CHEMBL420625
AChE,75,CCCCCCNC(=O)Oc1ccc2c(c1)C1(C)CCN(CC)C1C2,UBWZQILFMCCHFE-UHFFFAOYSA-N,5,1,CHEMBL34222
AChE,76,CCCCCCNC(=O)Oc1ccc2c(c1)C1(C)CCN(CC)C1C2,UBWZQILFMCCHFE-UHFFFAOYSA-N,5,1,CHEMBL413765
AChE,77,NCCCN=c1c2c([nH]c3cc(Cl)ccc13)CCCC2,FPBUGSBZFOFWAX-UHFFFAOYSA-N,0,1,CHEMBL191758
AChE,78,CCCCCCCNC(=O)Oc1ccc2c(c1)C1(C)CCN(C)C1N2C,RRGMXBQMCUKRLH-UHFFFAOYSA-N,32,1,CHEMBL433041
AChE,79,CN1CCC2(C)c3cc(OC(=O)Nc4ccccc4)ccc3N(C)C12,PBHFNBQPZCRWQP-UHFFFAOYSA-N,6,1,CHEMBL54727
AChE,80,CN1CCC2(C)c3cc(OC(=O)Nc4ccccc4)ccc3N(C)C12,PBHFNBQPZCRWQP-UHFFFAOYSA-N,6,1,CHEMBL74926
AChE,81,Cc1cc(C(=O)CCC2CC[N+](C)(Cc3ccccc3)CC2)nn1-c1ccccc1,OQDJCMHCDIHYKT-UHFFFAOYSA-N,0,1,CHEMBL87014
AChE,82,CC[N+](CC)(CC)CCOc1cc(OCC[N+](CC)(CC)CC)c(C(=O)NCCCCCC(=O)NN=c2c3c([nH]c4ccccc24)CCCC3)cc1OCC[N+](CC)(CC)CC,WJFJEDDYGFJHOF-UHFFFAOYSA-P,0,0,CHEMBL1203984
AChE,83,Cc1c(C)c2c(c(C)c1O)CCC(C)(C(=O)NCCCCCCN=c1c3c([nH]c4ccccc14)CCCC3)O2,ATFSKIZVJOMGAR-UHFFFAOYSA-N,0,1,CHEMBL3410954
AChE,84,Oc1ccc2c(CCC3CCN(Cc4ccccc4)CC3)noc2c1,PPMPPMKWHZDSNI-UHFFFAOYSA-N,0,1,CHEMBL92463
AChE,85,Cc1ccc(C)c(NC(=O)Oc2ccc3c(c2)C2(C)CCN(C)C2N3C)c1,CVZBWJAXPTZWBP-UHFFFAOYSA-N,0,1,CHEMBL337675
AChE,86,CNC(=O)Oc1ccc2c(c1)C1(C)CCN(C)C1N2C,PIJVFDBKTWXHHD-UHFFFAOYSA-N,4,1,10608
AChE,87,N=c1c2c([nH]c3cc([N+](=O)[O-])ccc13)CCCC2,MLEHSJMTNRGDES-UHFFFAOYSA-N,0,1,CHEMBL61715
AChE,88,CCC(CC)n1cc(C(=O)C(F)F)cn1,OMWCMVDBFIANLH-UHFFFAOYSA-N,0,1,CHEMBL3623558
AChE,89,O=C(CCC1CCN(Cc2ccccc2)CC1)c1ccc2c(c1)OCCO2,ZCUGLCPNDXQRDS-UHFFFAOYSA-N,0,1,CHEMBL557181
AChE,90,CCN(CCCCCC(=O)N(C)CCCCCCCCN(C)C(=O)CCCCCN(CC)Cc1ccccc1[N+](=O)[O-])Cc1ccccc1[N+](=O)[O-],HWVIRUSPVVRQOV-UHFFFAOYSA-N,0,1,CHEMBL176308
AChE,91,CC=C1C2C=C(C)CC1(N)c1ccc(=O)[nH]c1C2,ZRJBHWIHUMBLCN-UHFFFAOYSA-N,7,1,CHEMBL395280
AChE,92,c1cc2c(cc1OCCCN1CCCCC1)CN1CCCC1=N2,UVYNECUSQBZMSD-UHFFFAOYSA-N,0,1,CHEMBL3323035
AChE,93,CCCCCCCNC(=O)Oc1ccc2c(c1)C1(C)CCN(CC)C1C2,JOOGXPYATKQKBK-UHFFFAOYSA-N,0,1,CHEMBL416586
AChE,94,COc1cc2cc(NC(=O)C3CCCC(NCc4ccccc4)C3)c(=O)oc2cc1OC,UGTGSTDFYWUXNH-UHFFFAOYSA-N,0,1,CHEMBL2314726
AChE,95,CN1CCC2(C)c3cc(OC(=O)Nc4ccccc4)ccc3NC12,AGMUUBYEBVEYGU-UHFFFAOYSA-N,0,1,CHEMBL418917
AChE,96,C[N+]1(Cc2ccccc2)CCC(CCC(=O)c2ccc3c(c2)OCO3)CC1,MGRJGBMUVSCADJ-UHFFFAOYSA-N,0,1,CHEMBL313231
AChE,97,COc1cc2cc(-c3ccc(CN(C)Cc4ccccc4)cc3)c(=O)oc2cc1OC,KXMCSAUVAHKCOR-UHFFFAOYSA-N,0,1,CHEMBL75121
AChE,98,CCCCCCCN=c1c2c([nH]c3cc(F)ccc13)CCCC2,CMOBEQAOWOZHMH-UHFFFAOYSA-N,0,1,CHEMBL61561
AChE,99,CC=C1C2C=C(C)CC1(N)c1ccc(=O)[nH]c1C2,ZRJBHWIHUMBLCN-UHFFFAOYSA-N,7,1,10441
AChE,100,COc1cc2c(cc1OC)C[N+](C)(CCCCCCCc1cccc(OC)[n+]1C)CC2,OMSAJIKKMALDKQ-UHFFFAOYSA-N,0,1,CHEMBL2441673
AChE,101,Brc1ccc2c(CCC3CCN(Cc4ccccc4)CC3)noc2c1,SVVHWFKGOPNOLR-UHFFFAOYSA-N,0,1,CHEMBL330004
AChE,102,COc1ccc2cc(C(=O)CCC3CC[N+](C)(Cc4ccccc4)CC3)ccc2c1,HGNLDJVZZAVQMR-UHFFFAOYSA-N,0,1,CHEMBL87823
AChE,103,CN(Cc1ccccc1)Cc1ccc(C=C2CCc3cc(OCCCCCN4CCCCC4)ccc3C2=O)cc1,YEUHJVFRRWHHMS-UHFFFAOYSA-N,0,1,CHEMBL599644
AChE,104,c1ccc(CN2CCC(CCc3noc4ccccc34)CC2)cc1,PEZZRWUONLGRDN-UHFFFAOYSA-N,0,1,CHEMBL92460
AChE,105,CNC(=O)Oc1ccc2c(c1)C1(C)CCN(C)C1N2,GPONHWSDHNCYFZ-UHFFFAOYSA-N,42,1,CHEMBL431784
AChE,106,CCOC(=O)C1C(C)=Nc2[nH]c3c(c(=N)c2C1c1cccc(OC)c1)CCCC3,MZIOSKFQZWMLKH-UHFFFAOYSA-N,43,1,CHEMBL218940
AChE,107,CCNC(=O)c1ccc2nc(-c3ccc(Cl)cc3)c3c(c2c1)NCCC3,KBNHGKIAHMMUCH-UHFFFAOYSA-N,0,1,CHEMBL3122167
AChE,108,COc1cccc(CCCCCCc2cccc(OC)[n+]2C)[n+]1C,QSHASEDMMVZJAA-UHFFFAOYSA-N,0,1,CHEMBL2441667
AChE,109,COc1cc2c(cc1OC)C(=O)C(CCCCCCc1cccc(OC)[n+]1C)C2,KPGCCMMQFMDKQA-UHFFFAOYSA-N,0,1,CHEMBL2441675
AChE,110,CC(C)n1cc(C(=O)C(F)(F)F)cn1,JAVDJDQEDRNTQR-UHFFFAOYSA-N,0,1,CHEMBL3623548
AChE,111,Cc1cc(C)cc(NC(=O)Oc2ccc3c(c2)C2(C)CCN(C)C2N3C)c1,MMFNDUBHUKJLAW-UHFFFAOYSA-N,0,1,CHEMBL131210
AChE,112,CCC(C)n1cc(C(=O)C(F)F)cn1,KIPNKBSUTXPLGR-UHFFFAOYSA-N,0,1,CHEMBL3623556
AChE,113,N=c1c2c([nH]c3cc(F)ccc13)CCCC2,FXFGIRKFQZPTMA-UHFFFAOYSA-N,0,1,CHEMBL61533
AChE,114,C[Si](C)(C)c1cccc(C(=O)C(F)(F)F)c1,GAPOASFZXBWUGS-UHFFFAOYSA-N,0,1,CHEMBL3137700
AChE,115,CCNC(=O)Oc1ccc2c(c1)C1(C)CCN(C)C1N2C,FDRUOIJOXDAUQN-UHFFFAOYSA-N,48,1,CHEMBL205340
AChE,116,NC(Cc1c[nH]c2ccccc12)C(=O)NCCCCCCN=c1c2c([nH]c3ccccc13)CCCC2,KADKUQSSIRPDHT-UHFFFAOYSA-N,0,1,CHEMBL3343931
AChE,117,c1ccc(CN2CCC(CCc3nsc4ccccc34)CC2)cc1,QMQQOVGCVPEGSA-UHFFFAOYSA-N,0,1,CHEMBL328102
AChE,118,COc1ccc2c3c1OC1CC(O)C=CC31CCN(C)C2,ASUTZQLVASHGKV-UHFFFAOYSA-N,0,0,CHEMBL659
AChE,119,Cc1ccc2c(=N)c3c([nH]c2c1)CCCC3,XEAIOWJVFCHDRX-UHFFFAOYSA-N,0,1,CHEMBL60119
AChE,120,C[N+]1(Cc2ccccc2)CCC(CCC(=O)c2ccc3c(c2)OCCO3)CC1,CWPJXPVVERJSEL-UHFFFAOYSA-N,0,1,CHEMBL86031
AChE,121,CCCCCCN=c1c2c([nH]c3ccc(OC)cc13)CCCC2,FHJNAXWWTVBTEP-UHFFFAOYSA-N,0,1,CHEMBL1257885
AChE,122,COc1cccc(CCCCCc2cccc(OC)[n+]2C)[n+]1C,GTFWBEHRMVTXPK-UHFFFAOYSA-N,0,1,CHEMBL2441666
AChE,123,N#Cc1ccc2c(CCC3CCN(Cc4ccccc4)CC3)noc2c1,XTRTWLAGVWOKQO-UHFFFAOYSA-N,0,1,CHEMBL92775
AChE,124,CCOC(=O)C1C(C)=Nc2[nH]c3c(c(=N)c2C1c1ccc(OC)cc1)CCCC3,ALABVFKYOIAJBJ-UHFFFAOYSA-N,35,1,CHEMBL374184
AChE,125,CC(C)c1ccc(NC(=O)Oc2ccc3c(c2)C2(C)CCNC2N3)cc1,ZIGIADNCAWZUAB-UHFFFAOYSA-N,50,1,CHEMBL54470
AChE,126,CC(C)c1ccc(NC(=O)Oc2ccc3c(c2)C2(C)CCN(C)C2N3C)cc1,NKJRRVBTMYRXRB-UHFFFAOYSA-N,8,1,CHEMBL129837
AChE,127,c1ccc(CN2CCC(CCc3[nH]nc4ccccc34)CC2)cc1,NPZKLBFCTYVTBS-UHFFFAOYSA-N,0,1,CHEMBL92958
AChE,128,COc1cc2cc(C(=O)CCC3CC[N+](C)(Cc4ccccc4)CC3)n(C)c2cc1OC,USMKQGWAOUAYSP-UHFFFAOYSA-N,0,1,CHEMBL432376
AChE,129,CCOC(=O)C1C(C)=Nc2[nH]c3c(c(=N)c2C1c1ccccc1)CCCC3,HSWTUAONRDQBHN-UHFFFAOYSA-N,51,1,CHEMBL218939
AChE,130,COc1cc2c(cc1OC)C(=O)C(CCCCCc1cccc(OC)[n+]1C)C2,KMWYLDWNBWSQPS-UHFFFAOYSA-N,0,1,CHEMBL2441674
AChE,131,COc1cccc(CCCCCCCc2cccc(OC)[n+]2C)[n+]1C,LIWDLWCNFNPFFD-UHFFFAOYSA-N,0,1,CHEMBL2441668
AChE,132,CCc1ccccc1NC(=O)Oc1ccc2c(c1)C1(C)CC[N+](C)([O-])C1N2C,MVHRCJQCKYPDRL-UHFFFAOYSA-N,52,1,CHEMBL539624
AChE,133,CCCCCCCN=c1c2c([nH]c3cc(C)ccc13)CCCC2,KQKYQZVPBJYHCD-UHFFFAOYSA-N,0,1,CHEMBL61221
AChE,134,C[N+]1(Cc2ccccc2)CCC(CCC(=O)c2ccc3c(c2)CCCCO3)CC1,XNXQIZLRSMQRTH-UHFFFAOYSA-N,0,1,CHEMBL313582
AChE,135,c1ccc(CN2CCC(CCN=c3ccc(-c4ccccc4)n[nH]3)CC2)cc1,PHORSJQGLQBIOY-UHFFFAOYSA-N,0,1,CHEMBL3215535
AChE,136,O=c1c2cc(OCCCN3CCCCC3)ccc2nc2n1Cc1ccccc1-2,GDJCEVNDAZNLPF-UHFFFAOYSA-N,0,1,CHEMBL3323036
AChE,137,Cc1c(C)c2c(c(C)c1O)CCC(C)(C(=O)NCCCCCCCN=c1c3c([nH]c4ccccc14)CCCC3)O2,GYANWDNIKGBQDN-UHFFFAOYSA-N,0,1,CHEMBL3410955
AChE,138,CCCC(C)n1cc(C(=O)C(F)F)cn1,QYQDDTYKNXOHKG-UHFFFAOYSA-N,0,1,CHEMBL3623557
AChE,139,COc1cc2c(cc1OC)C[N+](C)(CCCCCCc1cccc(OC)[n+]1C)CC2,BLEMVENWQNSXTK-UHFFFAOYSA-N,0,1,CHEMBL2441672
AChE,140,CNC(=O)Oc1ccc2c(c1)C1(C)CCN(C)C1N2Cc1ccccc1,MFSFKJAYNZMHEN-UHFFFAOYSA-N,54,1,CHEMBL80221
AChE,141,N=c1c2c([nH]c3ccccc13)CCCC2O,HLVVITIHAZBPKB-UHFFFAOYSA-N,0,1,CHEMBL51934
AChE,142,CCOC(=O)C1C(C)=Nc2[nH]c3c(c(=N)c2C1c1ccc(C)cc1)CCCC3,KSRAGVSAGPERSL-UHFFFAOYSA-N,55,1,CHEMBL219406
AChE,143,COc1ccccc1CN(C)CCCCCC(=O)N(C)CCCCCCCCN(C)C(=O)CCCCCN(C)Cc1ccccc1OC,HDAQKLAKMZNBQB-UHFFFAOYSA-N,0,1,CHEMBL11805
AChE,144,Clc1ccc2c(=NCc3ccccc3)c3c([nH]c2c1)CCCC3,YJGBKRNWMAQSOS-UHFFFAOYSA-N,0,1,CHEMBL59628
